"slack","owner","path_group","path_class","start","end"
"36.225","RTL_OWNED","clock_20k","sequential timing path","u_power_on_delay/initial_en/opit_0_inv_L6Q_perm/CLK","u_cmos1_config/post_reset_wait_cnt[0]/opit_0_inv_L5Q_perm/CE"
"36.225","RTL_OWNED","clock_20k","sequential timing path","u_power_on_delay/initial_en/opit_0_inv_L6Q_perm/CLK","u_cmos1_config/post_reset_wait_cnt[15]/opit_0_inv_AQ_perm/CE"
"36.254","RTL_OWNED","sys_clk","sequential timing path","u_power_on_delay/camera_pwnd_reg/opit_0_inv_L6Q_LUT6DQL5_perm/CLK","u_power_on_delay/cnt2[0]/opit_0_L6Q_LUT6DQL5_perm/RS"
"36.254","RTL_OWNED","sys_clk","sequential timing path","u_power_on_delay/camera_pwnd_reg/opit_0_inv_L6Q_LUT6DQL5_perm/CLK","u_power_on_delay/cnt2[15]/opit_0_AQ_perm/RS"
"36.477","RTL_OWNED","clock_20k","sequential timing path","u_power_on_delay/initial_en/opit_0_inv_L6Q_perm/CLK","u_cmos1_config/post_reset_wait_cnt[12]/opit_0_inv_AQ_perm/CE"
"37.156","IP_DDR_PHY","ddr_rst_clk","sequential timing path","u_DDR3/u_ddrphy_top/ddrphy_cpd_ctrl/cpd_state_reg[8]/opit_0_inv_L6QQ_perm/CLK","u_DDR3/u_ddrphy_top/ddrphy_cpd_ctrl/cpd_state_reg[2]/opit_0_inv_L6Q_perm/CE"
"37.156","IP_DDR_PHY","ddr_rst_clk","sequential timing path","u_DDR3/u_ddrphy_top/ddrphy_cpd_ctrl/cpd_state_reg[8]/opit_0_inv_L6QQ_perm/CLK","u_DDR3/u_ddrphy_top/ddrphy_cpd_ctrl/cpd_state_reg[5]/opit_0_inv_L5Q_perm/CE"
"37.156","IP_DDR_PHY","ddr_rst_clk","sequential timing path","u_DDR3/u_ddrphy_top/ddrphy_cpd_ctrl/cpd_state_reg[8]/opit_0_inv_L6QQ_perm/CLK","u_DDR3/u_ddrphy_top/ddrphy_cpd_ctrl/cpd_state_reg[6]/opit_0_inv_L6Q_perm/CE"
"38.138","IP_DDR_PHY","ddr_rst_clk","async timing path","u_DDR3/u_ddrphy_top/u_ddrphy_rst_seq_rstn_sync/sig_async_r1[0]/opit_0_srl/CLK","u_DDR3/u_ddrphy_top/ddrphy_reset_ctrl/cnt[1]/opit_0_inv_L5Q_perm/RS"
"38.138","IP_DDR_PHY","ddr_rst_clk","async timing path","u_DDR3/u_ddrphy_top/u_ddrphy_rst_seq_rstn_sync/sig_async_r1[0]/opit_0_srl/CLK","u_DDR3/u_ddrphy_top/ddrphy_reset_ctrl/cnt[5]/opit_0_inv_L6Q_perm/RS"
"38.138","IP_DDR_PHY","ddr_rst_clk","async timing path","u_DDR3/u_ddrphy_top/u_ddrphy_rst_seq_rstn_sync/sig_async_r1[0]/opit_0_srl/CLK","u_DDR3/u_ddrphy_top/ddrphy_reset_ctrl/state_reg[4]/opit_0_inv_L6Q_perm/RS"
"38.853","RTL_OWNED","sys_clk","async timing path","u_sys_perst_rstn_sync/sig_async_ff/opit_0_inv_srl/CLK","u_sys_ddr_rstn_sync/sig_async_ff/opit_0_inv/RS"
"38.853","RTL_OWNED","sys_clk","async timing path","u_sys_perst_rstn_sync/sig_async_ff/opit_0_inv_srl/CLK","u_sys_ddr_rstn_sync/sig_synced/opit_0_inv/RS"
